id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23jddi5lnvhfluys04t1aokgje50nvyr3zbx5cgr3fzrk0h00410,Vladimir Kornilov,21 hours ago,1502487137576,"ЩАС СКАЖУТ ЧТО Я КРЕМЛЕБОТ. Эти два дальнобойщика напомнили мне тех двух девушек с передачи, которые спорили про вратаря и голкипера. Зачем такое пускать в эфир...они оба не разбираются в этом..они говорят толбко то что их деньги крадут. Алексей, ты пытаешься таким способом заинтересовать самых неразборчивых из среднего и низкого класса людей? Очень не приятно было смотреть как две ""бабки"" политику обсуждают. А ещ в конце их авторитетное мнение ""по е***у ногой?",1,false,0
z23vhztheymgtnawt04t1aokgrsqwcebqkoc3xj0bpdvrk0h00410,Вячеслав Евдокимов,21 hours ago,1502487137579,"Ужас, масштабы какие коррупции! Но этому должен прийти конец! Мы сами создам свою страну!",0,false,0
z22zib3zcvmqfbmzw04t1aokgimmiepfljfjmiifbtitbk0h00410,max xxx,21 hours ago,1502487137582,жиды молодцы они не быдло,0,false,0
z235dbla1qeoclzwt04t1aokgrhr3wrbhr3aft2w0ehibk0h00410,badass motherfucker,21 hours ago,1502487137585,"ГОЛОСУЕМ В 2018. КТО ЛЮБИТ ПО-АНАЛЬНЕЕ И ПОГЛУБЖЕ( ПО САМЫЕ ТУРЕЦКИЕ ПОМИДОРЫ)- ТО ВАШ ПРЕЗИДЕНТ-ВСЕМ ИЗВЕСТНЫЙ СТАРЫЙ ОПЫТНЫЙ  БОТЕКСНЫЙ ПИДОР ПУТИН,У КОТОРОГО УЖЕ КСТАТИ ПРОЯВЛЯЮТСЯ  ПРИЗНАКИ БОЛЕЗНИ ПАРКИНСОНА.......А ВОТ ДРУГОГО ВАРИАНТА И НЕТ. ГОТОВЬТЕ ЖОПУ.....ВОВА НЫРНЕТ В НЕ В ПОСЛЕДНИЙ РАЗ. А ПОТОМ В КОНЦЕ УВИДИТЕ ВПАВШЕГО В МАРАЗМ ВОВКУ, ОН СДОХНЕТ. И ПОНЕСЛОСЬ ПО НОВОЙ. СЦЕНАРИЙ СССР.ОТЛИЧИЕ -ТОЛЬКО КОМЕДИЙНЫЙ ЧЕРНЫЙ ЮМОР.",1,false,0
z235dbla1qeoclzwt04t1aokgghlp1d4dzeebradtt0zrk0h00410,badass motherfucker,21 hours ago,1502487137588,"СТРАНА КАК-ТО ПОДЕЛИЛАСЬ. КТО ХОЧЕТ СВОБОДЫ И ПЕРЕМЕН К ЛУЧШЕМУ-ТЕ ЗА НАВАЛЬНОГО., КТО ЗА СТАРОГО БОТЕКСНОГО ПИДОРА- ТЕ ЛЮБЯТ ПО-АНАЛЬНЕЕ. НУ И ТРЕТЬЕ-СЪЕБАТЬ К ЛЮДЯМ(В ЕВРОПУ,США)",1,false,0
z234xzdyuoqsi1uwj04t1aokghyk4j5zc42tftb5urhyrk0h00410,Евгений Толстой,21 hours ago,1502487143449,Ахренеть 1300000 человек на нашей планете вообще не хотят думать своей головой. Как можно вообще прислушиваться к этому дегроданту....,0,false,0
z23ojh2zuwmbsvpho04t1aokg4qgb33m015owrfzfpoyrk0h00410,Roud,21 hours ago,1502487143453,"ахахаха!!! ребята знаете, что они в скором времени запретят?!?! вот об заклад готов биться в этом споре! )))) они вскорости вот эти ""дроны"" запретят к продаже ))) при помощи которых вот так удачно можно снимать такие прекрасные виды с высоты птичьего полета и оставаться не замеченными!! ))))",0,false,0
z23vw1ljfqq1y1abk04t1aokg0mkayprlh3pn401lutark0h00410,Дуся Добермановна Задонская,21 hours ago,1502487143470,про себя дебил раскажи,0,false,0
z23vw1ljfqq1y1abk04t1aokgkctq3udhiiua4b3xk1rrk0h00410,Дуся Добермановна Задонская,21 hours ago,1502487143473,пиздюк ебучий,0,false,0
z224wtjjesnetv2teacdp4320hj5jelbowo30wcbbqxw03c010c,Andy McNay,22 hours ago,1502483543479,"Лешик нереальный долбоеб))) Петрушка, созданная ФСБ для развала оппозиции. Итог уже очевиден- оппозиции как таковой не существует- а есть только пидорок навальный, который пиздит то, что ему пишут кураторы из ФСБ.",0,false,0
